delay_id_pk,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,other_type_delay
85015,338.0,0.0,7.0,0.0,0.0,7.0
85019,0.0,0.0,64.0,0.0,0.0,-2.0
85026,0.0,0.0,0.0,0.0,47.0,-3.0
85027,7.0,0.0,0.0,0.0,46.0,-3.0
85028,0.0,0.0,15.0,0.0,6.0,-8.0
85033,9.0,0.0,0.0,0.0,16.0,-12.0
85036,0.0,28.0,3.0,0.0,0.0,3.0
85044,0.0,0.0,1.0,0.0,130.0,1.0
85053,43.0,0.0,8.0,0.0,0.0,8.0
85054,0.0,0.0,3.0,0.0,46.0,3.0
85063,4.0,0.0,0.0,0.0,36.0,-6.0
85084,27.0,0.0,6.0,0.0,0.0,6.0
85093,27.0,0.0,0.0,1.0,0.0,27.0
85109,4.0,0.0,11.0,0.0,7.0,11.0
85125,0.0,0.0,0.0,0.0,31.0,-7.0
85142,97.0,0.0,0.0,0.0,0.0,-11.0
85155,0.0,0.0,8.0,0.0,111.0,8.0
85170,28.0,0.0,18.0,0.0,0.0,18.0
85174,0.0,0.0,0.0,0.0,191.0,-8.0
85176,0.0,0.0,0.0,7.0,91.0,-7.0
85177,31.0,0.0,0.0,0.0,74.0,-11.0
85178,3.0,0.0,0.0,0.0,36.0,-3.0
85225,5.0,0.0,0.0,0.0,24.0,-25.0
85226,83.0,0.0,0.0,0.0,105.0,-17.0
85236,37.0,0.0,0.0,0.0,15.0,-2.0
85244,55.0,0.0,0.0,0.0,0.0,-8.0
85260,142.0,0.0,0.0,0.0,0.0,-6.0
85282,54.0,0.0,6.0,0.0,0.0,6.0
85304,214.0,0.0,0.0,0.0,0.0,-14.0
85310,155.0,0.0,2.0,0.0,5.0,2.0
85325,4.0,0.0,0.0,0.0,12.0,-30.0
85345,21.0,0.0,0.0,0.0,9.0,-3.0
85354,67.0,0.0,0.0,0.0,0.0,-21.0
85367,0.0,0.0,55.0,0.0,0.0,-9.0
85368,25.0,0.0,0.0,0.0,25.0,-5.0
85379,5.0,0.0,0.0,0.0,20.0,0.0
85381,0.0,0.0,1.0,0.0,17.0,-7.0
85404,105.0,0.0,0.0,0.0,0.0,-12.0
85405,24.0,0.0,0.0,0.0,28.0,-25.0
85415,10.0,0.0,0.0,0.0,43.0,-11.0
85416,4.0,0.0,25.0,0.0,3.0,25.0
85417,0.0,0.0,9.0,0.0,32.0,1.0
85433,0.0,0.0,22.0,0.0,24.0,22.0
85434,1.0,0.0,0.0,0.0,41.0,0.0
85435,2.0,0.0,4.0,0.0,14.0,4.0
85443,3.0,0.0,0.0,0.0,67.0,-19.0
85452,10.0,0.0,0.0,0.0,52.0,-14.0
85454,2.0,0.0,0.0,0.0,60.0,-5.0
85455,0.0,0.0,0.0,6.0,31.0,-26.0
85478,7.0,0.0,0.0,0.0,82.0,-10.0
85486,82.0,0.0,0.0,0.0,180.0,-8.0
85493,3.0,0.0,18.0,0.0,10.0,18.0
85499,0.0,0.0,0.0,0.0,67.0,-29.0
85511,28.0,0.0,9.0,0.0,0.0,9.0
85515,11.0,0.0,0.0,0.0,14.0,-15.0
85516,4.0,0.0,0.0,0.0,21.0,-5.0
85532,6.0,0.0,0.0,0.0,9.0,-3.0
85551,124.0,0.0,0.0,0.0,0.0,0.0
85600,10.0,0.0,5.0,0.0,2.0,5.0
85612,8.0,0.0,0.0,0.0,9.0,0.0
85626,0.0,0.0,0.0,0.0,26.0,-3.0
85630,26.0,0.0,0.0,0.0,1.0,-11.0
85635,13.0,0.0,8.0,0.0,2.0,8.0
85639,0.0,17.0,1.0,0.0,9.0,1.0
85659,7.0,0.0,0.0,0.0,173.0,-8.0
85681,5.0,0.0,0.0,0.0,170.0,-5.0
85682,3.0,0.0,0.0,0.0,170.0,-3.0
85684,131.0,0.0,11.0,0.0,0.0,11.0
85702,9.0,0.0,0.0,0.0,17.0,-16.0
85704,2.0,0.0,0.0,0.0,40.0,-19.0
85714,0.0,59.0,0.0,0.0,5.0,-22.0
85746,20.0,0.0,14.0,0.0,0.0,14.0
85748,17.0,0.0,0.0,0.0,16.0,-5.0
85749,36.0,0.0,0.0,0.0,19.0,-19.0
85755,0.0,7.0,0.0,0.0,8.0,-4.0
85762,73.0,0.0,0.0,0.0,0.0,-14.0
85763,0.0,0.0,22.0,0.0,68.0,22.0
85764,0.0,0.0,0.0,0.0,235.0,-27.0
85776,5.0,0.0,0.0,0.0,64.0,0.0
85777,8.0,0.0,0.0,0.0,56.0,-14.0
85820,4.0,0.0,0.0,0.0,55.0,-9.0
85830,3.0,0.0,0.0,0.0,13.0,-17.0
85835,98.0,0.0,0.0,0.0,0.0,-20.0
85843,0.0,0.0,0.0,0.0,21.0,-23.0
85844,0.0,0.0,0.0,0.0,91.0,0.0
85850,0.0,0.0,0.0,0.0,50.0,-15.0
85851,77.0,0.0,0.0,0.0,0.0,-18.0
85860,0.0,0.0,0.0,0.0,32.0,-21.0
85861,42.0,0.0,0.0,0.0,13.0,-6.0
85871,104.0,0.0,2.0,0.0,0.0,2.0
85872,80.0,0.0,0.0,0.0,0.0,-10.0
85878,0.0,0.0,12.0,0.0,38.0,12.0
85881,10.0,0.0,0.0,0.0,84.0,-9.0
85910,24.0,0.0,0.0,0.0,0.0,-6.0
85914,7.0,0.0,31.0,0.0,0.0,31.0
85918,0.0,0.0,0.0,0.0,178.0,-22.0
85919,203.0,0.0,0.0,0.0,0.0,-2.0
85930,505.0,0.0,0.0,0.0,0.0,-22.0
85940,158.0,0.0,0.0,0.0,0.0,-18.0
85941,91.0,0.0,0.0,0.0,2.0,-2.0
85955,43.0,0.0,0.0,0.0,0.0,0.0
85956,0.0,0.0,0.0,0.0,28.0,-24.0
85966,0.0,0.0,0.0,0.0,96.0,-20.0
85967,116.0,0.0,0.0,0.0,0.0,-10.0
85972,26.0,0.0,0.0,0.0,3.0,-19.0
85984,0.0,0.0,9.0,0.0,39.0,9.0
86046,41.0,0.0,0.0,0.0,0.0,-12.0
86047,0.0,0.0,0.0,0.0,166.0,-13.0
86048,5.0,0.0,0.0,0.0,178.0,-8.0
86060,4.0,0.0,13.0,0.0,0.0,13.0
86072,22.0,0.0,0.0,0.0,62.0,-16.0
86074,82.0,0.0,0.0,0.0,0.0,-5.0
86108,0.0,0.0,39.0,0.0,0.0,42.0
86133,0.0,191.0,0.0,0.0,0.0,-15.0
86142,30.0,0.0,0.0,0.0,2.0,-37.0
86149,91.0,0.0,9.0,0.0,0.0,9.0
86157,0.0,0.0,0.0,0.0,56.0,-6.0
86167,0.0,0.0,41.0,0.0,31.0,41.0
86192,150.0,0.0,0.0,0.0,0.0,-9.0
86234,0.0,0.0,1.0,0.0,142.0,1.0
86252,43.0,0.0,9.0,0.0,41.0,9.0
86253,0.0,0.0,0.0,0.0,296.0,-40.0
86254,134.0,0.0,0.0,0.0,12.0,-17.0
86268,0.0,0.0,0.0,0.0,76.0,-6.0
86271,0.0,39.0,0.0,0.0,2.0,-3.0
86279,392.0,0.0,0.0,0.0,0.0,-11.0
86291,44.0,0.0,0.0,0.0,0.0,-6.0
86299,0.0,0.0,18.0,0.0,3.0,18.0
86307,5.0,0.0,0.0,0.0,121.0,-8.0
86316,1.0,0.0,10.0,0.0,30.0,10.0
86317,30.0,0.0,0.0,0.0,0.0,-27.0
86330,2.0,0.0,19.0,0.0,0.0,19.0
86332,167.0,0.0,0.0,0.0,0.0,-13.0
86335,0.0,0.0,0.0,0.0,50.0,-20.0
86346,0.0,0.0,15.0,0.0,7.0,15.0
86392,0.0,0.0,0.0,0.0,149.0,-14.0
86393,48.0,0.0,0.0,0.0,452.0,-2.0
86394,452.0,0.0,0.0,0.0,0.0,-2.0
86398,0.0,4.0,21.0,0.0,2.0,21.0
86399,52.0,0.0,11.0,0.0,0.0,11.0
86403,178.0,0.0,0.0,0.0,0.0,-33.0
86405,27.0,0.0,2.0,0.0,500.0,2.0
86413,1116.0,0.0,0.0,0.0,20.0,-14.0
86420,508.0,0.0,0.0,0.0,13.0,-9.0
86426,5.0,0.0,3.0,0.0,163.0,3.0
86430,4.0,0.0,14.0,0.0,0.0,14.0
86438,0.0,0.0,0.0,0.0,113.0,-9.0
86439,15.0,0.0,0.0,0.0,113.0,-3.0
